,base_case
C3H8 + H <=> H2 + N-C3H7,0.0
C3H8 + O <=> I-C3H7 + OH,0.0
C3H8 + O <=> N-C3H7 + OH,0.0
C3H8 + OH <=> H2O + N-C3H7,0.0
C3H8 + OH <=> H2O + I-C3H7,0.0
C3H8 + HO2 <=> H2O2 + I-C3H7,0.0
C3H8 + HO2 <=> H2O2 + N-C3H7,0.0
C3H8 + I-C3H7 <=> C3H8 + N-C3H7,0.0
C3H6 + H (+M) <=> I-C3H7 (+M),0.0
I-C3H7 + O2 <=> C3H6 + HO2,0.0
N-C3H7 (+M) <=> C2H4 + CH3 (+M),0.0
C3H6 + H (+M) <=> N-C3H7 (+M),0.0
N-C3H7 + O2 <=> C3H6 + HO2,0.0
N-C3H7 + O2 <=> C3H6OOH,0.0
C3H6OOH <=> C3H6 + HO2,0.0
C3H6OOH + O2 <=> OC3H5OOH + OH,0.0
OC3H5OOH <=> CH2CHO + CH2O + OH,0.0
C4H10 (+M) <=> 2 C2H5 (+M),0.0
C4H10 + O2 <=> HO2 + PC4H9,0.0
C4H10 + O2 <=> HO2 + SC4H9,0.0
C4H10 + HO2 <=> H2O2 + PC4H9,0.0
C4H10 + HO2 <=> H2O2 + SC4H9,0.0
C4H10 + O <=> OH + PC4H9,0.0
C4H10 + O <=> OH + SC4H9,0.0
C4H10 + OH <=> H2O + PC4H9,0.0
C4H10 + OH <=> H2O + SC4H9,0.0
C4H10 + H <=> H2 + PC4H9,0.0
C4H10 + H <=> H2 + SC4H9,0.0
PC4H9 <=> C2H4 + C2H5,0.0
SC4H9 <=> C3H6 + CH3,0.0
C4H8 <=> C3H5 + CH3,0.0
C4H8 + H <=> C2H3 + C2H4 + H2,0.0
O2 + SC4H9 <=> SC4H9O2,0.0
SC4H9O2 <=> C4H8 + HO2,0.0
O2 + PC4H9 <=> C4H8 + HO2,0.0
O2 + PC4H9 <=> C4H8OOH1-3,0.0
C4H8OOH1-3 <=> C4H8 + HO2,0.0
C4H8OOH1-3 + O2 <=> NC4KET13 + OH,0.0
NC4KET13 <=> CO2 + N-C3H7 + OH,0.0
NH3 + O <=> NH2 + OH,0.0
H + NH3 <=> H2 + NH2,0.0
NH3 + OH <=> H2O + NH2,0.0
HO2 + NH3 <=> H2O2 + NH2,0.0
NH3 + NO <=> HNO + NH2,0.0
NH + NH3 + M <=> N2H4 + M,0.0
NH2 + O <=> NH + OH,0.0
NH2 + O <=> NH + OH,0.0
H + HNO <=> NH2 + O,0.0
H2 + NH <=> H + NH2,0.0
NH2 + OH <=> H2O + NH,0.0
NH2 + O2 <=> H2NO + O,0.0
NH2 + O2 <=> HNO + OH,0.0
H2NO + NH2 <=> HNO + NH3,0.0
NH2 + NO2 <=> H2O + N2O,0.0
NH2 + NO2 <=> H2NO + NO,0.0
NH2 + NO <=> H2O + N2,0.0
NH2 + NO <=> NNH + OH,0.0
H + H2NO <=> NH2 + OH,0.0
HO2 + NH2 <=> H2NO + OH,0.0
HO2 + NH2 <=> NH3 + O2,0.0
NH + NH2 <=> N + NH3,0.0
NH + NH2 <=> N2H3,0.0
NH + NH2 <=> H + N2H2,0.0
2 NH2 <=> NH + NH3,0.0
2 NH2 (+M) <=> N2H4 (+M),0.0
2 NH2 <=> H + N2H3,0.0
2 NH2 <=> H2 + N2H2,0.0
2 NH2 <=> H2 + H2NN,0.0
N + NH2 <=> 2 H + N2,0.0
H + NH <=> H2 + N,0.0
N + NH <=> H + N2,0.0
NH + OH <=> H2O + N,0.0
NH + OH <=> H + HNO,0.0
NH + O2 <=> HNO + O,0.0
NH + O2 <=> NO + OH,0.0
NH + NO <=> H + N2O,0.0
NH + NO <=> N2 + OH,0.0
2 NH <=> N + NH2,0.0
2 NH <=> N2H2,0.0
N + O + M <=> NO + M,0.0
N + NO <=> N2 + O,0.0
N + O2 <=> NO + O,0.0
N2 + M <=> 2 N + M,0.0
NNH <=> H + N2,0.0
NNH + O <=> N2 + OH,0.0
NNH + O <=> H + N2O,0.0
NNH + O <=> NH + NO,0.0
NNH + OH <=> H2O + N2,0.0
H + NNH <=> H2 + N2,0.0
NNH + O2 <=> HO2 + N2,0.0
NNH + O2 <=> H + N2 + O2,0.0
NNH + NO <=> HNO + N2,0.0
N2H2 + O <=> NNH + OH,0.0
H + N2H2 <=> H2 + NNH,0.0
N2H2 + OH <=> H2O + NNH,0.0
N2H2 + NH <=> NH2 + NNH,0.0
N2H2 + NO <=> N2O + NH2,0.0
N2H2 + NH2 <=> NH3 + NNH,0.0
H + H2NN <=> H2 + NNH,0.0
