,base_case
C2H4 + CH2(S) <=> C3H6,0.0
C2H4 + CH2(S) <=> C3H6,0.0
C2H4 + CH2(S) <=> C3H5-A + H,0.0
C2H4 + CH2(S) <=> C3H5-A + H,0.0
C2H4 + CH2(S) <=> C2H3 + CH3,0.0
C2H4 + CH2(S) <=> C2H3 + CH3,0.0
C2H3 + CH3 <=> C3H5-A + H,0.0
C2H3 + CH3 <=> C3H5-A + H,0.0
C3H6 <=> C2H3 + CH3,0.0
C3H6 <=> C2H3 + CH3,0.0
C3H6 <=> C3H5-A + H,0.0
C3H6 <=> C3H5-A + H,0.0
C3H5-T + H <=> C3H6,0.0
C3H5-T + H <=> C3H6,0.0
C3H5-T + H <=> C3H5-A + H,0.0
C3H5-T + H <=> C3H5-A + H,0.0
C3H5-T + H <=> C2H3 + CH3,0.0
C3H5-T + H <=> C2H3 + CH3,0.0
C3H6 <=> C3H5-S + H,0.0
C3H6 + H <=> C3H5-A + H2,0.0
C3H6 + O2 <=> C3H5-A + HO2,0.0
C3H6 + O <=> C3H5-A + OH,0.0
C3H6 + OH <=> C3H5-A + H2O,0.0
C3H6 + HO2 <=> C3H5-A + H2O2,0.0
C3H6 + CH3 <=> C3H5-A + CH4,0.0
C3H6 + CH3O <=> C3H5-A + CH3OH,0.0
C3H6 + CH3O2 <=> C3H5-A + CH3O2H,0.0
C2H5 + C3H6 <=> C2H6 + C3H5-A,0.0
C2H5O2 + C3H6 <=> C2H5O2H + C3H5-A,0.0
C3H6 + H <=> C3H5-T + H2,0.0
C3H6 + O <=> C3H5-T + OH,0.0
C3H6 + OH <=> C3H5-T + H2O,0.0
C3H6 + HO2 <=> C3H5-T + H2O2,0.0
C3H6 + O2 <=> C3H5-T + HO2,0.0
C3H6 + CH3 <=> C3H5-T + CH4,0.0
C3H6 + H <=> C3H5-S + H2,0.0
C3H6 + H <=> C3H5-S + H2,0.0
C3H6 + O2 <=> C3H5-S + HO2,0.0
C3H6 + O <=> C3H5-S + OH,0.0
C3H6 + OH <=> C3H5-S + H2O,0.0
C3H6 + HO2 <=> C3H5-S + H2O2,0.0
C3H6 + CH3 <=> C3H5-S + CH4,0.0
C3H6 + O <=> C2H5 + HCO,0.0
C3H6 + O => CH2CO + CH3 + H,0.0
C3H6 + O => CH3CHCO + 2 H,0.0
C3H6 + H <=> NC3H7,0.0
C3H6 + H <=> NC3H7,0.0
C3H6 + H <=> C2H4 + CH3,0.0
C3H6 + H <=> C2H4 + CH3,0.0
C3H6 + H <=> IC3H7,0.0
C3H6 + H <=> IC3H7,0.0
C2H4 + CH3 <=> NC3H7,0.0
C2H4 + CH3 <=> NC3H7,0.0
C3H6 + HO2 <=> IC3H7 + O2,0.0
C3H5-A + H <=> C3H4-A + H2,0.0
C3H5-A + OH <=> C3H4-A + H2O,0.0
C3H5-A + CH3 <=> C3H4-A + CH4,0.0
C2H5 + C3H5-A <=> C2H6 + C3H4-A,0.0
C2H3 + C3H5-A <=> C2H4 + C3H4-A,0.0
2 C3H4-A <=> C3H3 + C3H5-A,0.0
C3H5-S + H <=> C3H4-A + H2,0.0
C3H5-S + CH3 <=> C3H4-A + CH4,0.0
C3H5-S + H <=> C3H4-P + H2,0.0
C3H5-S + CH3 <=> C3H4-P + CH4,0.0
C3H5-T + H <=> C3H4-P + H2,0.0
C3H5-T + CH3 <=> C3H4-P + CH4,0.0
2 C3H5-A <=> C3H4-A + C3H6,0.0
C2H5 + C3H5-A <=> C2H4 + C3H6,0.0
C3H5-A + HCO <=> C3H6 + CO,0.0
C3H5-S + HCO <=> C3H6 + CO,0.0
C3H5-T + HCO <=> C3H6 + CO,0.0
C3H5-S + O <=> C2H4 + HCO,0.0
C3H5-S + OH => C2H4 + H + HCO,0.0
C3H5-S + HO2 => C2H4 + HCO + OH,0.0
C3H5-T + O <=> CH2CO + CH3,0.0
C3H5-T + OH => CH2CO + CH3 + H,0.0
C3H5-T + HO2 => CH2CO + CH3 + OH,0.0
C3H5-A + OH => C2H3CHO + 2 H,0.0
C3H5-A + O2 <=> C3H4-A + HO2,0.0
C3H5-A + O2 <=> CH2O + CH3CO,0.0
C3H5-A + O2 <=> C2H3CHO + OH,0.0
C3H5-S + O2 <=> CH3CHO + HCO,0.0
C3H5-S + O2 <=> CH3CHCHO + O,0.0
C3H5-S + O2 <=> C2H3CHO + OH,0.0
C3H5-T + O2 <=> CH3COCH2 + O,0.0
C3H5-T + O2 <=> CH2O + CH3CO,0.0
C3H5-T + O2 <=> C3H4-A + HO2,0.0
C3H5-A + HO2 <=> C3H5O + OH,0.0
C3H5-A + HO2 <=> AC3H5OOH,0.0
C3H5-A + HO2 <=> C2H3CHO + H2O,0.0
AC3H5OOH <=> C2H3CHO + H2O,0.0
AC3H5OOH <=> C3H5O + OH,0.0
C3H5O <=> C2H3 + CH2O,0.0
C3H5O <=> CH2CH2CHO,0.0
C3H5O <=> C2H3CHO + H,0.0
C3H5O <=> C2H4 + HCO,0.0
CH2CH2CHO <=> C2H3 + CH2O,0.0
CH2CH2CHO <=> C2H3CHO + H,0.0
CH2CH2CHO <=> C2H4 + HCO,0.0
C2H3 + CH2O <=> C2H3CHO + H,0.0
C2H3 + CH2O <=> C2H4 + HCO,0.0
C3H5-A + CH3O2 <=> C3H5O + CH3O,0.0
C3H5-A + CH3O2 <=> AC4H7OOH,0.0
AC4H7OOH <=> C3H5O + CH3O,0.0
C3H6 + OH <=> C3H5OH + H,0.0
